ticker,company_name,sector,market_cap,enterprise_value,revenue_ttm,ebitda_ttm,pe_ratio,ev_revenue,ev_ebitda
AAPL,Apple Inc.,Technology,3530234265600,3603419103232,408624988160,141696008192,36.09712,8.818,25.431
MSFT,Microsoft Corporation,Technology,3703205265408,3697036230656,281723994112,156528001024,36.47145,13.123,23.619
NEE,"NextEra Energy, Inc.",Utilities,143676653568,247599841280,25898999808,14643000320,24.310104,9.56,16.909
AMT,American Tower Corporation (REI,Infrastructure,90672128000,142766882816,10259600384,6625500160,36.194393,13.915,21.548
JPM,JP Morgan Chase & Co.,Financial Services,805429313536,457469526016,163748003840,0,15.028733,2.794,0.0
